,Account,Network,Text,Date,Positive,Neutral,Negative,Compound
265,@BBCWorld,BBC News (World),Iranians criticise Trump's offer of talks https://t.co/NjlnmBuHcU,Tue Jul 31 12:23:52 +0000 2018,0.0,0.674,0.326,-0.4404
266,@BBCWorld,BBC News (World),Düsseldorf neo-Nazi attack: Defendant acquitted of bomb blast https://t.co/J4AssUv1gj,Tue Jul 31 12:33:58 +0000 2018,0.14,0.42,0.441,-0.6486
267,@BBCWorld,BBC News (World),Romanian police confiscate anti-government number plates https://t.co/nfC81DCEZ1,Tue Jul 31 12:36:38 +0000 2018,0.178,0.822,0.0,0.0772
268,@BBCWorld,BBC News (World),Did MI5 miss chance to catch Manchester Arena bomber Salman Abedi? https://t.co/u7PPXhALlv,Tue Jul 31 12:46:06 +0000 2018,0.147,0.735,0.118,0.1027
269,@BBCWorld,BBC News (World),German heatwave causes beer bottle shortage as sales surge https://t.co/62E1UN4pIv,Tue Jul 31 12:53:23 +0000 2018,0.0,0.818,0.182,-0.25
270,@BBCWorld,BBC News (World),'Bigfoot erotica' row turns Virginia congressional race ugly https://t.co/pdYtm6gON8,Tue Jul 31 13:06:21 +0000 2018,0.0,0.708,0.292,-0.5106
271,@BBCWorld,BBC News (World),Slovakia alarmed by pro-Putin Night Wolves bikers' base https://t.co/xkes4ataUX,Tue Jul 31 13:26:28 +0000 2018,0.0,0.769,0.231,-0.34
272,@BBCWorld,BBC News (World),Alaska Airlines: Gay man accuses company of discrimination https://t.co/37IMMxZbue,Tue Jul 31 13:38:57 +0000 2018,0.0,0.769,0.231,-0.34
273,@BBCWorld,BBC News (World),"RT @BBCNews: #HappyBirthdayHarryPotter!

This is how the boy wizard enchanted the world https://t.co/IUE40g5UtA https://t.co/nQQb1kjkMf",Tue Jul 31 14:35:40 +0000 2018,0.182,0.818,0.0,0.4389
274,@BBCWorld,BBC News (World),Missing Malaysia flight MH370: Aviation chief quits over failings https://t.co/HMDmiqj3OJ,Tue Jul 31 14:37:16 +0000 2018,0.0,0.597,0.403,-0.6597
275,@BBCWorld,BBC News (World),Mexico's Popocatépetl volcano spews ash high into the sky https://t.co/iYESDgTIgj,Tue Jul 31 15:27:59 +0000 2018,0.0,1.0,0.0,0.0
276,@BBCWorld,BBC News (World),"RT @BBCNorthAmerica: Have you been asked to relinquish your duties as a bridesmaid? Or, have you disinvited your bridesmaid or a guest from…",Tue Jul 31 15:38:52 +0000 2018,0.0,1.0,0.0,0.0
277,@BBCWorld,BBC News (World),"Disguised as a baby and stolen from an aquarium 🦈

Now Miss Helen the horn shark is back where she belongs https://t.co/W6oQaqiiY1",Tue Jul 31 15:41:32 +0000 2018,0.0,0.723,0.277,-0.7096
278,@BBCWorld,BBC News (World),Full story: Shark 'recovering' after aquarium pram kidnap https://t.co/NjP7ki3LNh,Tue Jul 31 15:54:56 +0000 2018,0.0,1.0,0.0,0.0
279,@BBCWorld,BBC News (World),Florida paramedics 'racially profiled' dying woman https://t.co/Qc2Jm2KD8K,Tue Jul 31 16:17:37 +0000 2018,0.0,1.0,0.0,0.0
280,@BBCWorld,BBC News (World),"Car crush TV 😱

60 luxury vehicles destroyed in Philippines smuggling crackdown https://t.co/B7JqzYrWT8 https://t.co/dWA5sY3GsM",Tue Jul 31 16:31:23 +0000 2018,0.0,0.467,0.533,-0.9136
281,@BBCWorld,BBC News (World),Vancouver man shoved into oncoming traffic https://t.co/FxaOTk1B7y,Tue Jul 31 17:10:53 +0000 2018,0.0,1.0,0.0,0.0
282,@BBCWorld,BBC News (World),Central African Republic: Russian journalists die in ambush https://t.co/20UsopoIQL,Tue Jul 31 18:13:36 +0000 2018,0.0,0.672,0.328,-0.5994
283,@BBCWorld,BBC News (World),"RT @BBCNorthAmerica: Calling all mothers! We’re working on a video about going back to work after having a baby, and we want to hear about…",Tue Jul 31 18:54:46 +0000 2018,0.067,0.933,0.0,0.1511
284,@BBCWorld,BBC News (World),The face behind a stock image: How I gave away my face for free https://t.co/30VPyr7uqN,Tue Jul 31 19:01:02 +0000 2018,0.216,0.784,0.0,0.5106
